Year,Name,College,POS,Rookie AV,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Cmp,PassAtt,Pct,PassYds,Y/A,AY/A,PassTD,Int,Rate,RushAtt,RushYds,RushAvg,RushTD
2013,Matt Barkley,USC,QB,2,74.5,230,10.08,30.63,30,4.91,,,,,,,1001,1562,64.1,12327,7.9,8,116,48,148.7,132,-113,-0.9,6
2013,Jeff Tuel,Washington St.,QB,1,75,218,,,,,,,,,,,530,864,61.3,5932,6.9,6.3,33,25,125.8,261,52,0.2,2
2013,James Vandenberg,Iowa,QB,0,74.75,226,9.68,30.25,,4.92,,32,116,4.52,6.95,,507,888,57.1,5786,6.5,6.3,35,20,120.3,158,67,0.4,7
2013,Matt Scott,Arizona,QB,0,74.125,213,9.08,30.25,22,4.69,,31,118,3.99,6.69,,415,675,61.5,4921,7.3,7,33,19,133.2,212,1138,5.4,8
2013,Ryan Griffin,Tulane,QB,0,75.875,221,,,,,,,,,,,836,1396,59.9,9026,6.5,6.1,56,35,122.4,149,-342,-2.3,1
2013,Tyler Bray,Tennessee,QB,0,78.125,232,9.28,33,24,5.05,,,100,4.51,7.2,,540,922,58.6,7444,8.1,8.2,69,28,145,61,-207,-3.4,1
2013,Colby Cameron,Louisiana Tech,QB,0,74.125,212,9.08,32,,4.78,,30.5,112,4.28,6.98,,545,854,63.8,6417,7.5,7.9,45,13,141.3,139,422,3,5
2013,Collin Klein,Kansas St.,QB,0,76.875,226,9.28,32,,4.78,,29,111,4.4,7.17,,370,604,61.3,4724,7.8,7.7,30,15,138.4,601,2485,4.1,56
2013,B.J. Daniels,South Florida,QB,0,70.625,222,,,,,,,,,,,649,1132,57.3,8433,7.4,6.8,52,39,128.2,526,2068,3.9,25
2013,Brad Sorensen,Southern Utah,QB,0,76.5,229,9.28,32.25,,4.97,,29,112,4.55,7.17,,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Sean Renfree,Duke,QB,0,75.125,219,,,,,,,,,,,898,1389,64.7,9465,6.8,6.3,51,40,128.2,153,-167,-1.1,9
2013,Tyler Wilson,Arkansas,QB,0,74.125,215,8.68,31.38,20,4.95,,28.5,112,4.39,7.22,,593,948,62.6,7765,8.2,8.1,52,26,144,110,-44,-0.4,4
2013,Zac Dysert,Miami (OH),QB,0,74.875,227,,,24,4.81,,,,,,,1066,1672,63.8,12013,7.2,6.7,73,51,132.4,461,665,1.4,12
2014,Blake Bortles,Central Florida,QB,42,77,232,9.38,32.88,28,4.93,,32.5,114,4.21,7.08,,585,891,65.7,7598,8.5,8.8,56,19,153.8,195,561,2.9,15
2014,Derek Carr,Fresno St.,QB,40,74.375,214,9.13,31.5,20,4.69,,34.5,110,4.2,,,1087,1630,66.7,12843,7.9,8.6,113,24,152.8,164,190,1.2,5
2014,Teddy Bridgewater,Louisville,QB,22,74.125,214,9.25,33,20,,,30,112,4.2,7.17,,781,1142,68.4,9817,8.6,8.9,72,24,157.2,226,170,0.8,6
2014,Jimmy Garoppolo,East. Illinois,QB,8,74.25,226,9.25,31,24,4.97,,30.5,110,4.26,7.04,,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Johnny Manziel,Texas A&M,QB,5,71.75,207,9.88,31.38,32,4.68,,31.5,112,4.03,6.75,,595,863,68.9,7820,9.1,9.4,63,22,164.1,345,2169,6.3,30
2014,Tom Savage,Pittsburgh,QB,4,75.875,228,9.63,31.63,,4.97,,27,104,4.36,7.33,,430,757,56.8,5690,7.5,7.4,37,19,131.1,167,-319,-1.9,4
2014,A.J. McCarron,Alabama,QB,3,75.25,220,,,,4.94,,28,99,4.34,7.18,,686,1026,66.9,9019,8.8,9.6,77,15,162.5,119,-50,-0.4,3
2014,David Fales,San Jose St.,QB,1,73.625,212,9.25,31.75,,4.99,,28,102,4.5,7.55,,639,938,68.1,8382,8.9,9.3,66,22,161.7,90,-132,-1.5,2
2014,Logan Thomas,Virginia Tech,QB,1,78.125,248,10.88,34.25,,4.61,,35.5,116,4.18,7.05,,693,1248,55.5,9003,7.2,6.6,52,39,123.6,495,1359,2.7,24
2014,Zach Mettenberger,LSU,QB,1,76.875,224,9.75,32.38,,,,,,,,,407,659,61.8,5783,8.8,8.8,35,15,148.4,83,-313,-3.8,0
